,,,,,,,,,,
No.,EmpID,EmpCode,LastName,FirstName,Gender,Birthday,Organization,Position,Hireday,Farewell
87,210128,HFQN-210128,Th?i Th?,B°ch ,Nam,28/2/1991,??B,Cìng nhÉn??,15/6/2017,
88,210240,HFQN-210240,Nguy?n ??c,Hóng ,N?,18/5/1999,??B,Cìng nhÉn??,16/5/2017,
89,210288,HFQN-210288,Phan Th?,Kim Thoa,Nam,2/1/1967,??B,Cìng nhÉn??,17/5/2017,
90,210290,HFQN-210290,Phan Th?,Thanh Lam,Nam,20/4/2002,??B,Cìng nhÉn??,18/5/2022,
91,210302,HFQN-210302,Ph?m V?n,Thu? ,N?,10/11/1997,??B,Cìng nhÉn??,19/5/2017,
92,210304,HFQN-210304,Tr?n Th?,Kim H??ng,Nam,29/9/1998,??B,Cìng nhÉn??,18/4/2010,
93,210439,HFQN-210439,Là B†,Th?ng ,N?,20/6/1993,??B,Cìng nhÉn??,18/4/2011,
94,210440,HFQN-210440,Là B†,H?ng ,Nam,17/7/1995,??B,Cìng nhÉn??,18/4/2012,
95,210441,HFQN-210441,Nguy?n B†,Nh?t,Nam,18/5/1995,??B,Cìng nhÉn??,20/8/2017,
96,210442,HFQN-210442,Bói Thanh,TÉm ,Nam,9/7/2001,??B,Cìng nhÉn??,9/10/2021,
97,210443,HFQN-210443,Nguy?n Thanh,S†ng,Nam,30/4/1965,??B,Cìng nhÉn??,20/4/2006,
98,210444,HFQN-210444,Tr?n V?n,Thoa,N?,17/4/1985,??B,Cìng nhÉn??,20/4/2007,
99,210445,HFQN-210445,V? Thanh,Hóng ,Nam,9/6/1978,??B,Cìng nhÉn??,15/4/2008,
100,210446,HFQN-210446,Ph?m Th?,Tr£c Linh,N?,10/10/1964,??B,Cìng nhÉn??,20/4/2009,
101,210446,HFQN-210447,Ng?c V?n,L? ,N?,12/7/1997,??B,T? tr??ng??,7/9/2015,
